timestamps,EngineSpeed,WheelBasedVehicleSpeed,EngineFuelRate,TransmissionOilTemperature1
2019-11-24 11:35:38.494050026+02:00,924.5,1.53515625,3.2,21.09375
2019-11-24 11:35:38.498100042+02:00,924.291773778754,1.53515625,3.2,21.09375
2019-11-24 11:35:38.498650074+02:00,924.2634961439454,1.5343828125041796,3.2,21.09375
2019-11-24 11:35:38.513499975+02:00,923.5,1.5135000000044816,3.2,21.09375
2019-11-24 11:35:38.533499956+02:00,921.5,1.4853749999983425,3.2,21.09375
2019-11-24 11:35:38.553499937+02:00,921.0,1.457250000002435,3.2,21.09375
2019-11-24 11:35:38.573499918+02:00,920.0,1.429124999996296,3.2,21.09375
2019-11-24 11:35:38.594049931+02:00,919.5,1.4002265624943366,3.2,21.09375
2019-11-24 11:35:38.598099947+02:00,919.1868556703771,1.39453125,3.2,21.09375
2019-11-24 11:35:38.598649979+02:00,919.144329897406,1.3936718750046442,3.2,21.09375
2019-11-24 11:35:38.613450050+02:00,918.0,1.3705468749973226,3.1925999999981958,21.09375
2019-11-24 11:35:38.633500099+02:00,916.0,1.3392187499981583,3.1825749999991926,21.09375
2019-11-24 11:35:38.653450012+02:00,913.5,1.308046874995049,3.1725999999989236,21.09375
2019-11-24 11:35:38.673500061+02:00,913.0,1.2767187499958845,3.1625749999999204,21.09375
2019-11-24 11:35:38.694050074+02:00,912.5,1.2446093749937075,3.1522999999999715,21.09375
2019-11-24 11:35:38.698100090+02:00,912.395886889564,1.23828125,3.1502750000021322,21.09375
2019-11-24 11:35:38.698649883+02:00,912.3817480719727,1.2382243126099792,3.1500000000000004,21.09375
2019-11-24 11:35:38.713500023+02:00,912.0,1.2366870030914696,3.1500000000000004,21.09375
2019-11-24 11:35:38.728300095+02:00,910.5200000000436,1.235154869699531,3.1500000000000004,21.09375
2019-11-24 11:35:38.733500004+02:00,910.0,1.2346165525617616,3.1500000000000004,21.09456254062697
2019-11-24 11:35:38.753499985+02:00,909.5,1.2325461020313004,3.1500000000000004,21.09768769688543
2019-11-24 11:35:38.773449898+02:00,907.5,1.2304808276281634,3.1500000000000004,21.100805040251732
2019-11-24 11:35:38.794049978+02:00,905.5,1.2283482635818637,3.1500000000000004,21.10402395119783
2019-11-24 11:35:38.811300039+02:00,905.5,1.2265625,3.1500000000000004,21.106719398469753
2019-11-24 11:35:38.811899900+02:00,905.5,1.2263464861753446,3.1500000000000004,21.106813153157393
2019-11-24 11:35:38.813549995+02:00,905.5,1.2257524481549227,3.1500000000000004,21.10707097854954
2019-11-24 11:35:38.833050013+02:00,904.0,1.218731998848382,3.1500000000000004,21.110118005900116
2019-11-24 11:35:38.853499889+02:00,902.0,1.2113695276493108,3.1500000000000004,21.1133134781743
2019-11-24 11:35:38.873500109+02:00,900.5,1.204169066821351,3.1500000000000004,21.116438634431624
2019-11-24 11:35:38.894049883+02:00,901.0,1.1967705933190438,3.1500000000000004,21.119649732486703
2019-11-24 11:35:38.898099899+02:00,900.2712082256388,1.1953125,3.1500000000000004,21.12028257662941
2019-11-24 11:35:38.898699999+02:00,900.1632390740756,1.1949845389808436,3.1500000000000004,21.12037633131705
2019-11-24 11:35:38.913500071+02:00,897.5,1.1868948338350254,3.157399999998705,21.1226889469474
2019-11-24 11:35:38.933500051+02:00,897.5,1.17596279984989,3.167400000000888,21.125814103205858
2019-11-24 11:35:38.953350067+02:00,898.0,1.165112756123521,3.1773249999995072,21.128915820791267
2019-11-24 11:35:38.973500013+02:00,897.0,1.154098731887574,3.1873999999979774,21.132064415720496
2019-11-24 11:35:38.994100094+02:00,895.5,1.1428387368832824,3.197699999999862,21.135283326666595
2019-11-24 11:35:38.998150110+02:00,895.6041131106231,1.140625,3.1997250000014863,21.135916170809303
2019-11-24 11:35:38.998699903+02:00,895.6182519280273,1.140625,3.2,21.136002112605926
2019-11-24 11:35:39.013550043+02:00,896.0,1.140625,3.2074249999998927,21.13832254112729
2019-11-24 11:35:39.033550023+02:00,895.0,1.140625,3.2174249999984377,21.14144769738461
2019-11-24 11:35:39.053550005+02:00,893.0,1.140625,3.22742500000062,21.144572853643066
2019-11-24 11:35:39.073549986+02:00,892.5,1.140625,3.237424999999165,21.147698009900388
2019-11-24 11:35:39.094099998+02:00,892.5,1.140625,3.247699999999862,21.150909107955467
2019-11-24 11:35:39.098150015+02:00,892.3958868893769,1.140625,3.249725000001486,21.151541952098174
2019-11-24 11:35:39.098700047+02:00,892.3817480719727,1.1404102636193565,3.25,21.151627893894798
2019-11-24 11:35:39.113549948+02:00,892.0,1.1346123813107323,3.257421289355039,21.153948322416163
2019-11-24 11:35:39.133549929+02:00,891.0,1.1268037856070643,3.267416291855734,21.157073478674622
2019-11-24 11:35:39.153549910+02:00,892.5,1.1189951899062371,3.2774112943527927,21.16019863493194
2019-11-24 11:35:39.173549891+02:00,891.5,1.1111865942025692,3.287406296853488,21.163323791190397
2019-11-24 11:35:39.194149971+02:00,889.5,1.103143740630916,3.297701149425204,21.16654270213536
2019-11-24 11:35:39.198199987+02:00,889.3956185566049,1.1015625,3.2997251374327767,21.167175546278067
2019-11-24 11:35:39.198750019+02:00,889.3814432989478,1.101254406669926,3.3000000000000003,21.16726148807469
2019-11-24 11:35:39.213550091+02:00,889.0,1.0929638951991234,3.3000000000000003,21.16957410370504
2019-11-24 11:35:39.233599901+02:00,888.5,1.08173249282922,3.3000000000000003,21.17270707285451
2019-11-24 11:35:39.253550053+02:00,888.0,1.0705571074354612,3.3000000000000003,21.175824416220816
